date	Air Bombardment	Artillery	Asphyxiation	Beating or Stabbing	Burned	Chemical	Crushed	Execution	Gun Shot	Mine	Missiles	Other	Refusal to Follow Orders	Resource Outage	Sniper	Stress	Torture	Unspecified	Wounds
2011-05-25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0
2011-05-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.0	0.0
2011-05-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235294118	0.0	0.882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235294118	0.0	0.0
2011-05-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.222222222222	0.111111111111	0.0	0.0	0.0	0.0	0.0
2011-05-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0
2011-05-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.416666666667	0.0	0.0
2011-05-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.921052631579	0.0	0.0	0.0	0.0263157894737	0.0	0.0	0.0	0.0526315789474	0.0	0.0
2011-06-01	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.05	0.0	0.0
2011-06-02	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.8125	0.0	0.0	0.0	0.09375	0.0	0.0	0.03125	0.0	0.0	0.0
2011-06-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.940476190476	0.0	0.0	0.0	0.0357142857143	0.0	0.0	0.0	0.0238095238095	0.0	0.0
2011-06-04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0833333333333	0.0	0.0
2011-06-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.982142857143	0.0	0.0	0.0	0.0178571428571	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-06	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0
2011-06-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0
2011-06-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2011-06-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.203791469194	0.0	0.0	0.0	0.791469194313	0.0	0.00473933649289	0.0	0.0	0.0	0.0
2011-06-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
2011-06-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0
2011-06-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0
2011-06-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0
